GMDNR;GMDNAME;BZNR;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED;Z_CNTR
7101;Büsingen am Hochrhein;0;71;71;762;691587;696037;282307;285717;693800;284200;390;486;419;414;425
7301;Campione d'Italia;0;73;73;93;717825;719418;91169;93659;718600;92300;270;593;308;270;270
