Gemeinde,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total+/-,Ledige20-24 JahreMänner Total+/-,Ledige25-29 JahreFrauen Total+/-,Ledige25-29 JahreMänner Total+/-,Ledige30-34 JahreFrauen Total+/-,Ledige30-34 JahreMänner Total+/-,Ledige35-39 JahreFrauen Total+/-,Ledige35-39 JahreMänner Total+/-,Ledige40-44 JahreFrauen Total+/-,Ledige40-44 JahreMänner Total+/-,Ledige45-49 JahreFrauen Total+/-,Ledige45-49 JahreMänner Total+/-,Ledige50-54 JahreFrauen Total+/-,Ledige50-54 JahreMänner Total+/-,Ledige55-59 JahreFrauen Total+/-,Ledige55-59 JahreMänner Total+/-,Ledige60-64 JahreFrauen Total+/-,Ledige60-64 JahreMänner Total+/-,Ledige65-69 JahreFrauen Total+/-,Ledige65-69 JahreMänner Total+/-,Ledige70-74 JahreFrauen Total+/-,Ledige70-74 JahreMänner Total+/-,Ledige75-79 JahreFrauen Total+/-,Ledige75-79 JahreMänner Total+/-,Ledige80-84 JahreFrauen Total+/-,Ledige80-84 JahreMänner Total+/-,Ledige85-89 JahreFrauen Total+/-,Ledige85-89 JahreMänner Total+/-,Ledige90-94 JahreFrauen Total+/-,Ledige90-94 JahreMänner Total+/-
Thayngen,6,-6,-10,10,-37,37,-34,34,1,-1,-20,20,-15,15,-37,37,3,-3,2,-2,19,-19,22,-22,41,-41,40,-40,43,-43,19,-19
Bargen (SH),33,-33,-1,1,-4,4,0,0,-10,10,-5,5,-2,2,-2,2,-5,5,0,0,4,-4,-1,1,-1,1,0,0,1,-1,2,-2
Beringen,-6,6,-5,5,-34,34,-27,27,-21,21,3,-3,-9,9,6,-6,10,-10,14,-14,26,-26,24,-24,18,-18,28,-28,31,-31,18,-18
Buchberg,23,-23,-6,6,-8,8,-3,3,-7,7,-1,1,-2,2,-4,4,5,-5,-1,1,1,-1,7,-7,4,-4,4,-4,6,-6,3,-3
Merishausen,2,-2,13,-13,-7,7,0,0,-1,1,-7,7,0,0,-6,6,2,-2,1,-1,-2,2,-1,1,5,-5,4,-4,3,-3,0,0
Neuhausen am Rheinfall,-134,134,-42,42,-62,62,-43,43,-27,27,-6,6,-27,27,-1,1,6,-6,17,-17,46,-46,67,-67,74,-74,82,-82,84,-84,47,-47
Rüdlingen,-13,13,4,-4,4,-4,5,-5,1,-1,0,0,-9,9,-2,2,-5,5,2,-2,-10,10,11,-11,3,-3,5,-5,3,-3,0,0
Schaffhausen,-1232,1232,-44,44,-194,194,-226,226,-94,94,-21,21,42,-42,99,-99,45,-45,172,-172,195,-195,256,-256,292,-292,318,-318,332,-332,201,-201
Beggingen,13,-13,-10,10,-9,9,-4,4,-3,3,-3,3,-1,1,8,-8,-2,2,-1,1,1,-1,4,-4,6,-6,2,-2,1,-1,1,-1
Schleitheim,34,-34,-11,11,-16,16,-11,11,-8,8,-11,11,-13,13,-6,6,-4,4,3,-3,-6,6,6,-6,12,-12,4,-4,22,-22,10,-10
Siblingen,-1,1,-8,8,-8,8,-4,4,1,-1,-3,3,4,-4,9,-9,-5,5,4,-4,2,-2,0,0,2,-2,5,-5,5,-5,3,-3
Buch (SH),12,-12,0,0,-5,5,0,0,-8,8,2,-2,-1,1,-2,2,-3,3,-1,1,2,-2,-2,2,0,0,2,-2,3,-3,0,0
Hemishofen,5,-5,1,-1,0,0,1,-1,-3,3,2,-2,5,-5,-7,7,-1,1,-3,3,3,-3,-2,2,-1,1,7,-7,-2,2,1,-1
Ramsen,-11,11,3,-3,-12,12,-23,23,1,-1,-3,3,-2,2,0,0,-3,3,6,-6,4,-4,4,-4,10,-10,9,-9,10,-10,5,-5
Stein am Rhein,-100,100,-2,2,-27,27,-12,12,-20,20,-6,6,9,-9,12,-12,7,-7,5,-5,16,-16,35,-35,32,-32,16,-16,34,-34,17,-17
Hallau,-67,67,-1,1,-13,13,-11,11,1,-1,1,-1,-2,2,-4,4,-6,6,-1,1,-3,3,18,-18,24,-24,16,-16,19,-19,9,-9
Oberhallau,18,-18,-3,3,-2,2,-7,7,1,-1,-1,1,7,-7,-2,2,-3,3,-5,5,2,-2,0,0,3,-3,2,-2,4,-4,1,-1
Trasadingen,19,-19,-5,5,-9,9,-6,6,3,-3,0,0,-5,5,3,-3,-9,9,2,-2,-4,4,-1,1,2,-2,4,-4,6,-6,3,-3
Wilchingen,-25,25,0,0,-9,9,-2,2,-13,13,-7,7,-2,2,1,-1,2,-2,-6,6,8,-8,10,-10,11,-11,6,-6,10,-10,2,-2
Herisau,35,-35,-111,111,-162,162,-122,122,-66,66,-52,52,-34,34,24,-24,32,-32,38,-38,51,-51,43,-43,97,-97,85,-85,116,-116,92,-92
Hundwil,31,-31,-10,10,-13,13,-2,2,-1,1,5,-5,0,0,-11,11,-3,3,0,0,5,-5,2,-2,5,-5,0,0,5,-5,4,-4
Schönengrund,-10,10,1,-1,-3,3,-3,3,0,0,-6,6,6,-6,-2,2,-4,4,-3,3,3,-3,3,-3,1,-1,2,-2,4,-4,1,-1
Schwellbrunn,29,-29,-18,18,-16,16,-1,1,-3,3,-2,2,-9,9,-2,2,-3,3,-5,5,4,-4,5,-5,10,-10,10,-10,14,-14,5,-5
Stein (AR),15,-15,0,0,-2,2,0,0,-4,4,0,0,-7,7,-12,12,-1,1,4,-4,-5,5,6,-6,9,-9,13,-13,8,-8,1,-1
Urnäsch,20,-20,-7,7,-2,2,-15,15,-6,6,-4,4,-5,5,-10,10,-12,12,-9,9,1,-1,6,-6,14,-14,28,-28,17,-17,11,-11
Waldstatt,37,-37,-4,4,-10,10,-8,8,-12,12,2,-2,0,0,-10,10,1,-1,5,-5,-3,3,-3,3,15,-15,16,-16,11,-11,2,-2
Bühler,33,-33,-3,3,-5,5,-17,17,-3,3,0,0,-10,10,-8,8,6,-6,2,-2,13,-13,6,-6,9,-9,9,-9,5,-5,4,-4
Gais,22,-22,-42,42,-16,16,-10,10,-5,5,-4,4,-1,1,-4,4,3,-3,5,-5,4,-4,18,-18,10,-10,22,-22,27,-27,10,-10
Speicher,-84,84,-30,30,-7,7,-11,11,-3,3,3,-3,8,-8,3,-3,-8,8,5,-5,7,-7,14,-14,30,-30,26,-26,28,-28,25,-25
Teufen (AR),-63,63,-36,36,-26,26,-34,34,-31,31,-26,26,3,-3,-5,5,4,-4,-2,2,27,-27,26,-26,41,-41,51,-51,46,-46,28,-28
Trogen,13,-13,-7,7,-3,3,-5,5,1,-1,-17,17,4,-4,-8,8,-3,3,-3,3,3,-3,6,-6,9,-9,6,-6,12,-12,6,-6
Grub (AR),37,-37,-19,19,-11,11,-3,3,-5,5,-6,6,0,0,-5,5,-7,7,8,-8,-1,1,1,-1,1,-1,6,-6,8,-8,5,-5
Heiden,-61,61,-30,30,-35,35,-10,10,-6,6,-17,17,3,-3,-8,8,5,-5,18,-18,14,-14,33,-33,24,-24,36,-36,25,-25,19,-19
Lutzenberg,42,-42,-29,29,-7,7,-8,8,-6,6,-10,10,4,-4,1,-1,-11,11,5,-5,-4,4,-1,1,3,-3,0,0,6,-6,4,-4
Rehetobel,-25,25,-19,19,1,-1,3,-3,-5,5,-6,6,4,-4,6,-6,2,-2,0,0,9,-9,2,-2,17,-17,10,-10,12,-12,6,-6
Reute (AR),25,-25,-9,9,-10,10,-3,3,-9,9,-5,5,1,-1,-6,6,1,-1,1,-1,-1,1,-1,1,6,-6,4,-4,4,-4,3,-3
Wald (AR),20,-20,-13,13,-4,4,-2,2,-1,1,0,0,-1,1,-7,7,-11,11,8,-8,7,-7,6,-6,3,-3,5,-5,7,-7,4,-4
Walzenhausen,63,-63,-23,23,-12,12,-16,16,-15,15,-3,3,-5,5,-8,8,-12,12,5,-5,-4,4,9,-9,10,-10,6,-6,11,-11,6,-6
Wolfhalden,17,-17,-5,5,-12,12,-4,4,-9,9,0,0,-9,9,4,-4,-12,12,8,-8,0,0,6,-6,7,-7,9,-9,8,-8,-1,1
Appenzell,99,-99,-40,40,-64,64,-33,33,-25,25,-31,31,2,-2,-9,9,4,-4,-4,4,-3,3,15,-15,40,-40,40,-40,37,-37,27,-27
Gonten,34,-34,-11,11,-27,27,-10,10,-2,2,-2,2,-9,9,2,-2,-2,2,-7,7,-8,8,-2,2,5,-5,14,-14,23,-23,14,-14
Rüte,109,-109,-12,12,-28,28,-24,24,-23,23,-20,20,-10,10,-1,1,-12,12,-6,6,2,-2,5,-5,10,-10,23,-23,20,-20,8,-8
Schlatt-Haslen,74,-74,1,-1,-19,19,-5,5,-15,15,-7,7,-1,1,-13,13,-1,1,-6,6,-10,10,0,0,-1,1,3,-3,11,-11,2,-2
Schwende,3,-3,-15,15,-33,33,-9,9,1,-1,-6,6,0,0,-7,7,-8,8,8,-8,0,0,0,0,11,-11,12,-12,10,-10,7,-7
Oberegg,24,-24,-7,7,-5,5,-24,24,-7,7,-6,6,-10,10,-1,1,-4,4,-5,5,-1,1,3,-3,3,-3,17,-17,17,-17,7,-7
Häggenschwil,-23,23,-8,8,-7,7,4,-4,3,-3,0,0,0,0,-3,3,1,-1,6,-6,2,-2,2,-2,5,-5,5,-5,14,-14,5,-5
Muolen,-1,1,4,-4,-3,3,1,-1,-8,8,2,-2,-9,9,-2,2,1,-1,-9,9,-1,1,3,-3,-1,1,8,-8,9,-9,4,-4
St. Gallen,-2178,2178,-367,367,-255,255,-570,570,-305,305,-59,59,65,-65,166,-166,255,-255,281,-281,352,-352,545,-545,585,-585,677,-677,600,-600,371,-371
Wittenbach,-302,302,-18,18,-20,20,-49,49,-14,14,2,-2,13,-13,31,-31,-1,1,37,-37,70,-70,74,-74,60,-60,62,-62,59,-59,32,-32
Eggersriet,-24,24,-4,4,-12,12,1,-1,2,-2,10,-10,-3,3,-4,4,14,-14,13,-13,-3,3,11,-11,13,-13,20,-20,6,-6,7,-7
Andwil (SG),-44,44,-3,3,-18,18,-1,1,-3,3,-2,2,1,-1,-7,7,-5,5,5,-5,6,-6,6,-6,13,-13,22,-22,9,-9,4,-4
Gaiserwald,-109,109,-28,28,-43,43,-9,9,-15,15,-6,6,-8,8,27,-27,30,-30,12,-12,53,-53,34,-34,30,-30,41,-41,35,-35,19,-19
Gossau (SG),-184,184,-85,85,-113,113,-104,104,-56,56,-13,13,3,-3,12,-12,0,0,42,-42,62,-62,107,-107,117,-117,119,-119,104,-104,49,-49
Waldkirch,33,-33,-19,19,-8,8,-10,10,-1,1,-9,9,-10,10,-9,9,1,-1,-8,8,-14,14,-6,6,17,-17,16,-16,21,-21,9,-9
Berg (SG),-3,3,10,-10,-7,7,-1,1,0,0,0,0,0,0,0,0,0,0,7,-7,1,-1,-2,2,1,-1,1,-1,0,0,-1,1
Goldach,-300,300,-7,7,-30,30,-30,30,-16,16,-8,8,9,-9,14,-14,-4,4,19,-19,38,-38,52,-52,71,-71,67,-67,80,-80,28,-28
Mörschwil,-16,16,-22,22,-17,17,-25,25,-6,6,4,-4,6,-6,-3,3,-7,7,13,-13,1,-1,22,-22,10,-10,22,-22,16,-16,9,-9
Rorschach,-37,37,-42,42,-113,113,-35,35,-71,71,-40,40,-57,57,-15,15,-2,2,15,-15,66,-66,84,-84,71,-71,101,-101,72,-72,45,-45
Rorschacherberg,-59,59,-30,30,-39,39,-48,48,-28,28,-1,1,7,-7,16,-16,32,-32,17,-17,14,-14,34,-34,48,-48,37,-37,26,-26,10,-10
Steinach,21,-21,-22,22,-20,20,-31,31,-4,4,-9,9,-9,9,-3,3,-7,7,14,-14,10,-10,30,-30,23,-23,26,-26,15,-15,21,-21
Tübach,3,-3,-6,6,-13,13,-3,3,-5,5,-3,3,-8,8,2,-2,-4,4,9,-9,3,-3,7,-7,11,-11,4,-4,2,-2,1,-1
Untereggen,39,-39,-11,11,-11,11,-7,7,0,0,-2,2,0,0,-3,3,-6,6,3,-3,-5,5,3,-3,1,-1,0,0,4,-4,1,-1
Thal,98,-98,-34,34,-35,35,-26,26,-24,24,-20,20,-25,25,-19,19,0,0,-3,3,18,-18,18,-18,25,-25,55,-55,34,-34,18,-18
Au (SG),-27,27,6,-6,-55,55,-56,56,-29,29,-42,42,-11,11,-14,14,-3,3,12,-12,17,-17,18,-18,51,-51,63,-63,39,-39,23,-23
Balgach,-45,45,9,-9,-31,31,-54,54,-35,35,9,-9,-15,15,-5,5,3,-3,9,-9,20,-20,23,-23,29,-29,32,-32,33,-33,16,-16
Berneck,-18,18,-15,15,-15,15,-33,33,-18,18,-23,23,11,-11,4,-4,3,-3,6,-6,2,-2,16,-16,19,-19,27,-27,28,-28,11,-11
Diepoldsau,77,-77,-1,1,-41,41,-74,74,-30,30,-20,20,-8,8,-18,18,-8,8,8,-8,23,-23,21,-21,31,-31,15,-15,20,-20,20,-20
Rheineck,13,-13,-16,16,-19,19,-37,37,-25,25,4,-4,-29,29,7,-7,5,-5,-2,2,12,-12,17,-17,22,-22,30,-30,13,-13,14,-14
St. Margrethen,76,-76,-43,43,-83,83,-54,54,-23,23,-20,20,-2,2,-24,24,-8,8,17,-17,7,-7,18,-18,39,-39,37,-37,38,-38,24,-24
Widnau,165,-165,-83,83,-69,69,-57,57,-41,41,-25,25,-6,6,-5,5,-4,4,-6,6,1,-1,30,-30,62,-62,50,-50,54,-54,17,-17
Altstätten,-152,152,-27,27,-86,86,-60,60,-45,45,-31,31,2,-2,-31,31,2,-2,31,-31,22,-22,66,-66,67,-67,87,-87,55,-55,44,-44
Eichberg,-7,7,-4,4,-21,21,-7,7,-12,12,2,-2,-6,6,-2,2,-3,3,2,-2,3,-3,10,-10,7,-7,6,-6,7,-7,3,-3
Marbach (SG),-8,8,-4,4,-18,18,-19,19,-7,7,1,-1,6,-6,5,-5,4,-4,3,-3,5,-5,4,-4,3,-3,-2,2,12,-12,2,-2
Oberriet (SG),249,-249,-38,38,-65,65,-57,57,-56,56,-18,18,-31,31,-41,41,0,0,-7,7,10,-10,24,-24,39,-39,39,-39,45,-45,16,-16
Rebstein,42,-42,-16,16,-21,21,-34,34,-16,16,1,-1,-16,16,-26,26,-10,10,4,-4,12,-12,20,-20,21,-21,25,-25,26,-26,16,-16
Rüthi (SG),98,-98,-12,12,-29,29,-21,21,-5,5,-10,10,-30,30,-4,4,0,0,-1,1,4,-4,4,-4,4,-4,14,-14,11,-11,4,-4
Buchs (SG),-53,53,-18,18,-134,134,-93,93,-104,104,-36,36,14,-14,7,-7,38,-38,49,-49,49,-49,48,-48,88,-88,95,-95,66,-66,40,-40
Gams,65,-65,0,0,-26,26,-39,39,-17,17,-10,10,-10,10,-8,8,-17,17,1,-1,3,-3,14,-14,12,-12,20,-20,10,-10,6,-6
Grabs,15,-15,-33,33,-15,15,-36,36,-41,41,-19,19,-1,1,21,-21,4,-4,22,-22,29,-29,25,-25,26,-26,46,-46,34,-34,16,-16
Sennwald,179,-179,-53,53,-42,42,-69,69,-25,25,-25,25,-9,9,-20,20,9,-9,5,-5,16,-16,5,-5,19,-19,29,-29,22,-22,10,-10
Sevelen,161,-161,-27,27,-37,37,-72,72,-40,40,-31,31,-24,24,6,-6,20,-20,0,0,23,-23,12,-12,27,-27,23,-23,24,-24,10,-10
Wartau,94,-94,-60,60,-37,37,-20,20,-17,17,-12,12,-3,3,-8,8,0,0,1,-1,11,-11,3,-3,26,-26,39,-39,36,-36,9,-9
Bad Ragaz,-38,38,-38,38,-45,45,-33,33,-37,37,-33,33,1,-1,29,-29,-6,6,26,-26,9,-9,57,-57,30,-30,35,-35,32,-32,33,-33
Flums,46,-46,-21,21,-62,62,-33,33,-15,15,-10,10,-7,7,-29,29,19,-19,8,-8,-8,8,14,-14,32,-32,30,-30,36,-36,13,-13
Mels,53,-53,-57,57,-52,52,-48,48,-43,43,-12,12,-16,16,-10,10,12,-12,18,-18,18,-18,41,-41,36,-36,44,-44,42,-42,27,-27
Pfäfers,55,-55,-3,3,-19,19,0,0,-6,6,-3,3,-1,1,-10,10,-1,1,-6,6,9,-9,-3,3,11,-11,15,-15,0,0,2,-2
Quarten,-64,64,-17,17,-18,18,-18,18,-2,2,-15,15,5,-5,12,-12,5,-5,-8,8,25,-25,11,-11,25,-25,27,-27,15,-15,12,-12
Sargans,-93,93,-29,29,-59,59,-50,50,-32,32,1,-1,-1,1,-5,5,12,-12,15,-15,14,-14,37,-37,42,-42,42,-42,40,-40,24,-24
Vilters-Wangs,-59,59,-16,16,-17,17,-28,28,-20,20,5,-5,-5,5,0,0,8,-8,20,-20,14,-14,18,-18,32,-32,28,-28,20,-20,6,-6
Walenstadt,-83,83,7,-7,-13,13,-21,21,-18,18,-19,19,9,-9,28,-28,20,-20,21,-21,9,-9,30,-30,41,-41,31,-31,35,-35,32,-32
Amden,-41,41,-22,22,2,-2,-11,11,-14,14,1,-1,6,-6,-3,3,3,-3,-4,4,6,-6,-1,1,14,-14,20,-20,15,-15,13,-13
Benken (SG),10,-10,-17,17,-27,27,-29,29,-4,4,-4,4,-4,4,2,-2,4,-4,-3,3,-10,10,5,-5,5,-5,20,-20,20,-20,12,-12
Kaltbrunn,143,-143,-56,56,-49,49,-45,45,-21,21,-8,8,-18,18,2,-2,-6,6,4,-4,23,-23,1,-1,16,-16,31,-31,17,-17,12,-12
Schänis,6,-6,-41,41,-24,24,-1,1,-13,13,-6,6,-1,1,3,-3,-12,12,12,-12,-2,2,13,-13,13,-13,21,-21,18,-18,12,-12
Weesen,-71,71,-3,3,-7,7,-9,9,-8,8,-1,1,5,-5,5,-5,14,-14,2,-2,7,-7,11,-11,11,-11,12,-12,16,-16,10,-10
Schmerikon,-31,31,6,-6,-28,28,-1,1,-19,19,-13,13,7,-7,-4,4,7,-7,0,0,12,-12,18,-18,6,-6,22,-22,22,-22,15,-15
Uznach,-156,156,-7,7,-1,1,-12,12,-15,15,-20,20,10,-10,8,-8,1,-1,9,-9,35,-35,3,-3,41,-41,34,-34,35,-35,19,-19
Rapperswil-Jona,-600,600,-26,26,-163,163,-163,163,-61,61,-47,47,25,-25,50,-50,71,-71,91,-91,119,-119,217,-217,179,-179,194,-194,172,-172,96,-96
Gommiswald,49,-49,-34,34,-46,46,-13,13,-14,14,1,-1,4,-4,-11,11,-3,3,0,0,13,-13,9,-9,26,-26,42,-42,25,-25,8,-8
Eschenbach (SG),119,-119,-42,42,-39,39,-74,74,-41,41,-13,13,-18,18,-4,4,-14,14,8,-8,20,-20,6,-6,45,-45,31,-31,22,-22,21,-21
Ebnat-Kappel,-21,21,-50,50,-12,12,-11,11,-14,14,-21,21,-2,2,11,-11,9,-9,15,-15,22,-22,22,-22,26,-26,44,-44,39,-39,21,-21
Wildhaus-Alt St. Johann,49,-49,-4,4,-35,35,-20,20,-15,15,-7,7,-14,14,-13,13,8,-8,-3,3,6,-6,12,-12,13,-13,24,-24,13,-13,14,-14
Nesslau,4,-4,-3,3,-50,50,-21,21,-8,8,-6,6,4,-4,-15,15,-12,12,-6,6,-3,3,19,-19,24,-24,33,-33,26,-26,11,-11
Hemberg,-6,6,-13,13,-14,14,-6,6,-2,2,-1,1,-6,6,-2,2,-1,1,3,-3,1,-1,3,-3,2,-2,6,-6,4,-4,2,-2
Lichtensteig,34,-34,-11,11,-25,25,-33,33,-1,1,-23,23,-3,3,-5,5,6,-6,6,-6,0,0,8,-8,12,-12,6,-6,15,-15,8,-8
Oberhelfenschwil,-9,9,-4,4,-9,9,-6,6,-8,8,2,-2,1,-1,-1,1,0,0,4,-4,-1,1,0,0,5,-5,4,-4,7,-7,4,-4
Neckertal,148,-148,-58,58,-66,66,1,-1,-15,15,-12,12,-16,16,-7,7,5,-5,-5,5,-8,8,-3,3,21,-21,13,-13,20,-20,14,-14
Wattwil,-110,110,-46,46,-76,76,-60,60,-24,24,-14,14,9,-9,-3,3,35,-35,11,-11,26,-26,47,-47,68,-68,104,-104,58,-58,37,-37
Kirchberg (SG),155,-155,-81,81,-65,65,-63,63,-31,31,-37,37,-31,31,-19,19,-11,11,-11,11,29,-29,40,-40,37,-37,61,-61,54,-54,16,-16
Lütisburg,23,-23,-6,6,-11,11,-10,10,-2,2,-8,8,-6,6,-4,4,-1,1,-4,4,3,-3,-1,1,6,-6,1,-1,8,-8,0,0
Mosnang,114,-114,-41,41,-33,33,-19,19,-4,4,-7,7,-18,18,4,-4,-7,7,-10,10,3,-3,9,-9,1,-1,36,-36,14,-14,8,-8
Bütschwil-Ganterschwil,-23,23,-18,18,-42,42,-52,52,10,-10,-8,8,2,-2,-9,9,-19,19,-13,13,6,-6,11,-11,31,-31,35,-35,33,-33,24,-24
Degersheim,8,-8,-20,20,-23,23,-9,9,-12,12,-15,15,-2,2,-11,11,-10,10,1,-1,18,-18,5,-5,22,-22,32,-32,21,-21,25,-25
Flawil,-94,94,-52,52,-77,77,-26,26,-29,29,14,-14,-10,10,-18,18,3,-3,9,-9,43,-43,53,-53,68,-68,59,-59,68,-68,33,-33
Jonschwil,35,-35,-25,25,3,-3,-27,27,-14,14,5,-5,-12,12,5,-5,14,-14,8,-8,6,-6,8,-8,9,-9,8,-8,13,-13,5,-5
Oberuzwil,22,-22,-37,37,-66,66,-30,30,-24,24,-21,21,-13,13,-3,3,8,-8,6,-6,-3,3,7,-7,31,-31,34,-34,41,-41,21,-21
Uzwil,51,-51,-35,35,-87,87,-57,57,-47,47,-40,40,-14,14,9,-9,11,-11,-10,10,38,-38,43,-43,66,-66,69,-69,66,-66,28,-28
Niederbüren,60,-60,-31,31,-14,14,-11,11,-1,1,-8,8,1,-1,2,-2,-3,3,3,-3,-9,9,2,-2,8,-8,10,-10,7,-7,1,-1
Niederhelfenschwil,52,-52,-18,18,-33,33,-13,13,-5,5,-1,1,1,-1,-6,6,-1,1,-2,2,-5,5,9,-9,12,-12,5,-5,14,-14,4,-4
Oberbüren,116,-116,6,-6,-20,20,-20,20,-10,10,-11,11,-9,9,-15,15,-1,1,10,-10,0,0,9,-9,18,-18,16,-16,23,-23,14,-14
Zuzwil (SG),22,-22,-15,15,-26,26,-28,28,-15,15,-21,21,13,-13,9,-9,7,-7,10,-10,-1,1,13,-13,17,-17,22,-22,18,-18,15,-15
Wil (SG),-511,511,-68,68,-103,103,-196,196,-81,81,-12,12,-25,25,-14,14,32,-32,79,-79,85,-85,131,-131,170,-170,181,-181,162,-162,93,-93
Mutten,11,-11,-1,1,-1,1,-4,4,-1,1,0,0,1,-1,-1,1,-1,1,2,-2,1,-1,0,0,0,0,0,0,0,0,1,-1
Vaz/Obervaz,0,0,13,-13,-17,17,-17,17,-22,22,0,0,0,0,6,-6,6,-6,-6,6,2,-2,10,-10,9,-9,15,-15,6,-6,10,-10
Lantsch/Lenz,12,-12,-4,4,-3,3,-2,2,-1,1,-6,6,-2,2,4,-4,-2,2,-6,6,4,-4,1,-1,3,-3,5,-5,1,-1,5,-5
Schmitten (GR),22,-22,-2,2,0,0,-2,2,0,0,-4,4,-4,4,-2,2,-2,2,-5,5,1,-1,2,-2,0,0,2,-2,2,-2,2,-2
Bergün/Bravuogn,17,-17,-6,6,-12,12,-6,6,-2,2,-2,2,-6,6,1,-1,1,-1,1,-1,0,0,4,-4,3,-3,3,-3,2,-2,0,0
Filisur,2,-2,0,0,-7,7,0,0,-3,3,-1,1,0,0,3,-3,1,-1,0,0,-5,5,4,-4,-1,1,2,-2,-3,3,0,0
Bivio,-22,22,3,-3,-2,2,0,0,3,-3,-1,1,0,0,-1,1,0,0,2,-2,0,0,1,-1,3,-3,1,-1,1,-1,2,-2
Cunter,6,-6,-1,1,1,-1,2,-2,0,0,0,0,0,0,0,0,-1,1,-1,1,0,0,-2,2,2,-2,2,-2,0,0,0,0
Marmorera,0,0,1,-1,-1,1,1,-1,0,0,-1,1,0,0,0,0,-1,1,0,0,1,-1,0,0,0,0,0,0,1,-1,0,0
Mulegns,-2,2,0,0,-1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,-1,0,0,2,-2,1,-1,0,0,0,0
Riom-Parsonz,16,-16,-5,5,-5,5,3,-3,-1,1,-2,2,-3,3,-4,4,-2,2,-1,1,1,-1,2,-2,5,-5,4,-4,0,0,2,-2
Salouf,1,-1,0,0,-4,4,-3,3,-4,4,-1,1,-4,4,-3,3,-2,2,2,-2,-2,2,1,-1,1,-1,3,-3,0,0,4,-4
Savognin,-1,1,-13,13,1,-1,-9,9,0,0,-2,2,-2,2,-2,2,-2,2,10,-10,-2,2,7,-7,3,-3,10,-10,4,-4,2,-2
Sur,-3,3,-4,4,0,0,2,-2,-1,1,0,0,0,0,1,-1,-2,2,-1,1,0,0,0,0,2,-2,2,-2,1,-1,1,-1
Tinizong-Rona,-5,5,8,-8,-4,4,-2,2,-5,5,-5,5,-3,3,-1,1,0,0,-2,2,5,-5,3,-3,6,-6,6,-6,3,-3,0,0
Albula/Alvra,-7,7,-1,1,2,-2,-20,20,-3,3,-7,7,5,-5,-3,3,2,-2,-1,1,-3,3,3,-3,8,-8,14,-14,9,-9,10,-10
Brusio,-26,26,-9,9,-2,2,-14,14,-15,15,-8,8,-1,1,1,-1,-9,9,1,-1,10,-10,8,-8,14,-14,23,-23,20,-20,11,-11
Poschiavo,-65,65,-11,11,-36,36,-20,20,-2,2,-9,9,-5,5,-14,14,1,-1,-8,8,22,-22,22,-22,28,-28,42,-42,43,-43,7,-7
Fürstenau,-7,7,2,-2,-1,1,-2,2,-2,2,1,-1,1,-1,2,-2,3,-3,1,-1,1,-1,4,-4,1,-1,4,-4,-1,1,2,-2
Rothenbrunnen,-19,19,8,-8,-3,3,-1,1,0,0,1,-1,3,-3,3,-3,1,-1,2,-2,0,0,1,-1,-1,1,2,-2,1,-1,0,0
Scharans,-24,24,-2,2,-16,16,3,-3,-2,2,0,0,0,0,2,-2,2,-2,-2,2,8,-8,3,-3,3,-3,5,-5,9,-9,7,-7
Sils im Domleschg,11,-11,-7,7,-2,2,3,-3,-3,3,1,-1,-5,5,1,-1,-1,1,2,-2,3,-3,0,0,1,-1,7,-7,6,-6,-1,1
Cazis,33,-33,-33,33,-22,22,1,-1,-11,11,1,-1,-8,8,-3,3,4,-4,12,-12,2,-2,10,-10,8,-8,8,-8,16,-16,6,-6
Flerden,-5,5,2,-2,-5,5,-1,1,-2,2,1,-1,-2,2,0,0,1,-1,0,0,2,-2,1,-1,2,-2,0,0,3,-3,-1,1
Masein,-2,2,3,-3,-10,10,-4,4,-1,1,3,-3,5,-5,-2,2,1,-1,-1,1,2,-2,4,-4,2,-2,2,-2,1,-1,1,-1
Thusis,-16,16,-12,12,-9,9,-21,21,-21,21,-23,23,-3,3,-2,2,20,-20,0,0,19,-19,10,-10,24,-24,30,-30,20,-20,10,-10
Tschappina,8,-8,-2,2,-8,8,1,-1,0,0,0,0,2,-2,-2,2,1,-1,1,-1,0,0,0,0,1,-1,0,0,1,-1,0,0
Urmein,18,-18,1,-1,0,0,-2,2,-3,3,-3,3,-2,2,1,-1,-1,1,1,-1,-5,5,-1,1,-1,1,0,0,1,-1,1,-1
Domleschg,-56,56,-6,6,-6,6,6,-6,-6,6,9,-9,-2,2,14,-14,2,-2,10,-10,5,-5,13,-13,12,-12,6,-6,18,-18,9,-9
Avers,-14,14,3,-3,1,-1,-1,1,-2,2,-1,1,-1,1,0,0,-2,2,0,0,-1,1,1,-1,4,-4,0,0,3,-3,2,-2
Hinterrhein,2,-2,0,0,-1,1,-2,2,1,-1,1,-1,0,0,1,-1,0,0,0,0,-1,1,-1,1,-1,1,0,0,0,0,0,0
Nufenen,15,-15,-2,2,1,-1,0,0,-1,1,-3,3,-1,1,-1,1,-1,1,0,0,0,0,0,0,-1,1,0,0,3,-3,0,0
Splügen,0,0,5,-5,-2,2,-3,3,-1,1,-3,3,-5,5,-2,2,3,-3,2,-2,0,0,2,-2,-1,1,1,-1,2,-2,1,-1
