Gemeinde,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total+/-,Ledige20-24 JahreMänner Total+/-,Ledige25-29 JahreFrauen Total+/-,Ledige25-29 JahreMänner Total+/-,Ledige30-34 JahreFrauen Total+/-,Ledige30-34 JahreMänner Total+/-,Ledige35-39 JahreFrauen Total+/-,Ledige35-39 JahreMänner Total+/-,Ledige40-44 JahreFrauen Total+/-,Ledige40-44 JahreMänner Total+/-,Ledige45-49 JahreFrauen Total+/-,Ledige45-49 JahreMänner Total+/-,Ledige50-54 JahreFrauen Total+/-,Ledige50-54 JahreMänner Total+/-,Ledige55-59 JahreFrauen Total+/-,Ledige55-59 JahreMänner Total+/-,Ledige60-64 JahreFrauen Total+/-,Ledige60-64 JahreMänner Total+/-,Ledige65-69 JahreFrauen Total+/-,Ledige65-69 JahreMänner Total+/-,Ledige70-74 JahreFrauen Total+/-,Ledige70-74 JahreMänner Total+/-,Ledige75-79 JahreFrauen Total+/-,Ledige75-79 JahreMänner Total+/-,Ledige80-84 JahreFrauen Total+/-,Ledige80-84 JahreMänner Total+/-,Ledige85-89 JahreFrauen Total+/-,Ledige85-89 JahreMänner Total+/-,Ledige90-94 JahreFrauen Total+/-,Ledige90-94 JahreMänner Total+/-
Oberstammheim,-1,1,-20,20,-9,9,-13,13,-3,3,2,-2,-1,1,-3,3,4,-4,-1,1,6,-6,8,-8,5,-5,17,-17,7,-7,3,-3
Ossingen,20,-20,-5,5,0,0,6,-6,1,-1,-1,1,-8,8,-1,1,-6,6,5,-5,2,-2,1,-1,0,0,11,-11,4,-4,1,-1
Rheinau,-26,26,-10,10,-4,4,-4,4,6,-6,5,-5,-4,4,3,-3,-3,3,9,-9,4,-4,1,-1,7,-7,15,-15,15,-15,8,-8
Thalheim an der Thur,28,-28,-7,7,5,-5,-6,6,3,-3,-11,11,0,0,-5,5,4,-4,-6,6,2,-2,8,-8,2,-2,0,0,4,-4,4,-4
Trüllikon,41,-41,-7,7,0,0,-12,12,-5,5,-8,8,7,-7,5,-5,2,-2,2,-2,3,-3,0,0,-1,1,-4,4,8,-8,3,-3
Truttikon,-19,19,-5,5,-2,2,0,0,0,0,2,-2,-3,3,-1,1,2,-2,6,-6,1,-1,3,-3,5,-5,1,-1,1,-1,0,0
Unterstammheim,0,0,-12,12,-16,16,-1,1,1,-1,-5,5,-2,2,1,-1,-3,3,-2,2,-1,1,2,-2,6,-6,11,-11,14,-14,4,-4
Volken,9,-9,-9,9,2,-2,-2,2,0,0,0,0,1,-1,1,-1,-1,1,0,0,2,-2,1,-1,0,0,0,0,0,0,1,-1
Waltalingen,-7,7,-2,2,-7,7,-1,1,-5,5,-1,1,3,-3,-2,2,6,-6,-2,2,4,-4,3,-3,11,-11,5,-5,5,-5,0,0
Bachenbülach,-38,38,-3,3,-15,15,-19,19,-5,5,5,-5,-7,7,-2,2,20,-20,1,-1,26,-26,20,-20,19,-19,15,-15,17,-17,0,0
Bassersdorf,-9,9,-20,20,-56,56,-66,66,-13,13,-11,11,-22,22,24,-24,12,-12,36,-36,43,-43,31,-31,40,-40,41,-41,31,-31,18,-18
Bülach,-328,328,-56,56,-141,141,-97,97,-33,33,-21,21,45,-45,68,-68,55,-55,48,-48,91,-91,91,-91,144,-144,106,-106,80,-80,33,-33
Dietlikon,-149,149,3,-3,6,-6,-52,52,-37,37,-18,18,8,-8,-22,22,40,-40,38,-38,24,-24,63,-63,47,-47,55,-55,35,-35,20,-20
Eglisau,6,-6,-23,23,-21,21,-19,19,-13,13,-14,14,-13,13,9,-9,13,-13,-1,1,9,-9,6,-6,28,-28,12,-12,23,-23,9,-9
Embrach,61,-61,-88,88,-56,56,-38,38,-30,30,-34,34,-26,26,13,-13,0,0,32,-32,47,-47,26,-26,68,-68,32,-32,26,-26,12,-12
Freienstein-Teufen,18,-18,5,-5,-19,19,-10,10,-7,7,-12,12,0,0,-9,9,1,-1,9,-9,3,-3,-3,3,10,-10,7,-7,6,-6,2,-2
Glattfelden,-27,27,-2,2,-42,42,-3,3,-32,32,-2,2,0,0,-13,13,11,-11,27,-27,15,-15,9,-9,6,-6,31,-31,14,-14,15,-15
Hochfelden,-26,26,-11,11,-2,2,-13,13,-3,3,-6,6,15,-15,0,0,11,-11,7,-7,2,-2,7,-7,3,-3,9,-9,2,-2,6,-6
Höri,66,-66,-37,37,-9,9,-12,12,-17,17,-16,16,-28,28,-13,13,1,-1,7,-7,9,-9,11,-11,12,-12,11,-11,10,-10,1,-1
Hüntwangen,27,-27,-24,24,-5,5,-3,3,0,0,6,-6,-1,1,5,-5,-3,3,0,0,5,-5,2,-2,6,-6,4,-4,5,-5,0,0
Kloten,43,-43,-80,80,-141,141,-120,120,-57,57,-83,83,-51,51,-47,47,26,-26,36,-36,76,-76,108,-108,114,-114,109,-109,88,-88,39,-39
